Rating,Review Text
5,"A fun dress to just throw on go, nice details in the bodice, mix of blues in the prints, little longer in back is nice detail for those of us who want a shorter dress but not the worry of flashing from behind"
5,"Absolutely love the design, fabric, and fit of this dress! a perfect dress for many occasions, one of the many reasons i love this company! excellent customer service, employees, and of course adorable clothing. 10/10 would recommend buying this dress! and to all the taller girls, i am 5'11"" and 170lbs and this dress is still a good length! no need to continuously pull down and worry about who might see your rear."
5,"Adorable & comfortable. i'm 5'3"", 115 lbs, and ordered an xs."
5,Adorable denim dress! fabric is lighter than i imagined but is very flattering. perfect length. this is not a form fitting dress at all so if you're going for that pass on the dress or possibly order a size down.
5,"After reading some reviews about it running small i decided to order the 8 instead of my regular size 6 and bingo! i'm 5""7' 144 lb. dress hits right above my knees. i'm between slender and curvy."
2,"After the second wash, the stitching in the armpits completely fell apart. after sewing it back up, wearing it, and washing it a third time, the stitching in the other armpit completely fell apart as well. not sure if this was just a fluke, but it was very disappointing. now that both armpits are sewn and all other stitches are intact, i must say that this is a great dress. i would have returned the dress to retailer, but i've already washed and worn it, so again...very disappointing. i would say"
1,"Although i love retailer, this product isn't the quality or presentation i expect from them. the dress arrived stuffed into a small plastic bag and was a crumpled mess. the fabric wasn't soft and fluid as i expected, but rather was stiff and a little scratchy. i purchased the ecru version, which was also slightly darker than the photo showed. i returned the dress and will keep looking."
5,As other reviewers have stated it is hard to see in the photos that the dress has iridescent blue/pink/lavender sequins. i was surprised as well but in a good way. i think it has a unique look and is so pretty and romantic. its a vision of shimmer when you are walking. if you have somewhat of a bust i would size up because the triangles run a little small. other than that its a beautiful dress.
5,"Cute design, the fabric drapes well, conceals many possible figure flaws, and has an upbeat, easy vibe. i got a small and am 125 lbs and 5'4"". i also washed it on a short cycle on cold and put it in the dryer for 5 minutes, which worked out just fine. great dress!"
5,Cute print got lots of compliments when i wore it. lightweight. looks great with boots
5,Fabulous dress for both quality and design. the embroidery is gorgeous and the long sleeves make it practical to begin wearing immediately. true to size and flattering. looks darling with booties.
5,Finally saw this dress online. i have to say that it looks better in person. the model might be too tall for this dress. i am 5'4''. it's right to my ankle. the color is in a nice off white. the material is a good quality. the overall cut is nice. it's a kind of classic feeling.you could wear it for a long time without going out of style.
5,"Gorgeous pattern, even prettier in person! runs slightly large in my opinion, could size down. nice to have as a petite option."
1,"Hahaha..this dress is hilarious! it looks nothing like the image! i am usually a 0/xs, and 4 was the smallest size available, so i ordered it. when i opened it, it felt like 10 lbs of fabric. i thought maybe i ordered a size way too big, until i could barely squeeze into the top of the dress. once i looked in the mirror, i almost fell over laughing. the rest of the dress is huge. i don't believe this dress would be flattering on anyone."
4,"I am 5'8"" size 4-6 us. i could barely zip the inside bra on the 8. i wear 34 b. i think it is uk sizing. i kept the 8 ( had to return the 6). it's a beautiful dress but it is a lot of dress. maybe too much for someone more petite. it looks ridiculous until you put the belt on:)"
5,"I am returning the dress because it smells heavily of the last purchaser's deodorant and perfume. it was actually nauseating to put on. i am disappointed with retailer that i was sold this dress, full price, in this condition. otherwise, the dress is lovely. it is true to size. i am 5'5"" 110 lbs and the size 0 was perfect."
5,"I am so glad i read the reviews for this before i purchased it. i am 5'5 and 135 pounds and normally wear a size 6 in dresses. i would normally buy a small, but sized down to an xs and it was perfect! it's a beautiful dress and very flattering!"
4,"I am typically a 14-16 and the dress is true to size. (xl) i live that the embroidery runs the full length of the dress. i also like the shimmery side seam detail. the front cut near the shoulders is very flattering on. one minor issue is a gap in the bosom area due to button placement. however, i plan to add a snap t i fix. i often have this issue as i am large in that area. the length is flattering as well and provides great coverage in the rear. lightweight and flows nicely. the color is wond"
5,"I am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit. i'm 5'1"" -112lbs so dress hit rt below knee -will have it hemmed up a bit do not so overwhelming.

this dress looks stunning on! great vibrant color ( i have dark hair) makes this classic elegant dress look contemporary and stylish. when i tried it on in store, salesperson and others who happen to see it on me raved and told me to grab it! i did and am glad.

i plan to wear it this spring for my daughte"
4,"I am very frustrated. i ordered the pxs and pxxs back in may...at the time they were both on back order until early august. last week i received an email that the pxxs was no longer available. i emailed customer service and got the reply that the shipment of pxxs was damaged and so that's why they were no longer available. i did receive the pxs and while the length is good for me at 5'4"" it is enormous through the entire body (shoulders down to the hemline!) i know the pxxs is the size i needed"
2,"I bought this dress for a holiday party, and the sequins on the dress were so much more blue that what it looks like in the photo. i still liked it, but when i went to try it on, it was just not working. i thought this was more of a loosely fitted look, but the upper bodice and waist seam are very tightly fitted. i would recommend sizing up, but be aware that the top straps (shoulder to breast) are too loose to begin with, so they may sag.

overall, i wouldn't recommend this dress for the curren"
4,"I definitely trend towards preferring my clothes looser as a style but the fit on this dress felt a bit too boxy, i typically run between and x-small and small, should have gone with the x-small. i loved the print and quality of the dress though and would recommend it!"
5,"I fell in love with this dress as soon as i saw it. it does fit more loosely than i typically prefer, but the colors and the patterns have such personality that it didn't matter. i wear mine both as a dress and with leggings for the windy days. this is one of my new favorites!"
